ZIPCODE,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
01742,,,,,,,,,1,,,,,,,,,,,,,,
01757,,,,,,,,1,,,,,,,,,,,,,,,
01760,,,,,,,,1,,,,,,,,,,,,,,,
01824,,,,,,,,,,,,,,,,,,,1,,,,
01845,,,,,,,,,,,,,,,,,,,,,,1,
01880,,,,,,,,,1,,,,,,,,,,,,,,
01890,,,,,,,,,,,,,1,,,,,,,,,,
01940,,,,,,,,1,,,,,,,,,,,,,,,
01945,,,,,,,,,1,,,,,,,,,,,,,,
02108,1,,1,,1,,,1,,12,3,,,,,,,,,,,1,
02109,,,,,,,1,,,,1,,,,,,,,,,1,,
02110,,,,,,,,1,,,,,,,,,,,,1,,,
02111,,,,,,,,,,1,,,,,,,,,,,,1,
02113,,,,,,,,,,4,3,3,3,,1,,,,,,,,1
02114,,,,,,2,1,,1,3,2,,,,,,1,,,,,4,
02115,,,,,,,,,,9,1,2,2,2,,,1,1,1,1,,1,
02116,,,,,,1,2,1,3,26,6,4,2,1,,,1,,1,2,3,,2
02118,,,,,,4,14,2,,27,10,3,4,1,,1,,2,2,1,2,2,
02119,,,,,1,1,,3,7,16,26,3,1,1,,1,3,3,2,4,18,5,2
02120,,,,,,,,,1,1,6,1,1,1,,,3,,11,1,7,,2
02121,,,,,,,,,1,4,15,9,7,1,,,,,1,,5,5,2
02122,,,,,,1,,1,2,6,45,11,16,3,1,,,,6,2,8,9,7
02124,,,,,,,,,3,15,32,9,18,7,2,1,,,2,7,11,5,3
02125,,,,,,,,,7,14,48,7,6,3,,,,,5,1,16,15,5
02126,,,,,,,,,,,2,4,6,4,,1,,1,1,,3,2,1
02127,1,,,1,,,1,7,5,49,62,18,8,2,1,,5,1,21,7,16,45,16
02128,,,,,,4,1,5,11,12,81,28,8,1,2,,2,,4,1,2,29,13
02129,1,,1,2,1,5,7,15,13,9,5,3,2,1,,,1,,,2,7,7,3
02130,1,,,,1,,2,5,12,15,74,24,30,7,1,2,2,,5,7,29,19,7
02131,,,,,,,,1,9,11,36,37,51,9,,,6,2,15,3,18,15,10
02132,,,,,,,,,,5,4,7,23,3,4,4,8,2,3,3,4,,1
02136,,,,,,,,2,2,5,13,16,10,6,4,5,9,1,9,4,19,4,2
02138,,,,,,2,2,2,1,3,5,8,7,1,,,,,,1,,3,
02138-1915,,,,,,,,,,,,,1,,,,,,,,,,
02138-4531,,,,,,,,,,,,1,,,,,,,,,,,
02138-4646,,,,,,,,,,,,1,,,,,,,,,,,
02138-6832,,,,,,,,,,,,,1,,,,,,,,,,
02139,,,,1,2,,,4,4,6,7,6,1,,,,,1,1,1,,,
02139-1017,,,,,,,,,,,1,,,,,,,,,,,,
02139-1113,,,,,,,,,,,1,,,,,,,,,,,,
02139-1116,,,,,,,1,,,,,,,,,,,,,,,,
02139-3125,,,,,,,,,,1,,,,,,,,,,,,,
02139-4019,,,,,,,,,1,,,,,,,,,,,,,,
02139-4423,,,,,,,,,,,,,,,,,1,,,,,,
02139-4430,,,,,,1,,,,,,,,,,,,,,,,,
02139-4745,,,,,,,,,,,,1,,,,,,,,,,,
02140,,,,,,,,,,2,2,1,3,1,,,1,,,,,,1
02140-1124,,,,,,,,,,,,1,,,,,,,,,,,
02140-1610,,,,,,,,,,,,,1,,,,,,,,,,
02140-1841,,,,,,,,,,,,1,,,,,,,,,,,
02140-3304,,,,,,,,1,,,,,,,,,,,,,,,
02141,,,,1,,1,,,,2,5,,,,,,,1,,,2,2,1
02141-1931,,,,,,,,,1,,,,,,,,,,,,,,
02142,,,,,,,,,,,2,,1,,,,,,,,,1,
02199,,,,,,,,,,1,,,,,,,,,,,,,
02210,,,,,,,,,,,,1,,1,1,,,,,,,1,
02215,,,,,,,,,,10,7,4,,,,,1,,,1,1,1,
02421,,,,,,,,,,,1,,,,,,,,,,,,
02458,,,,,,,,1,,,,,,,,,,,,,,,
02460,,,,,,,,,1,,,,,,,,,,,,,,
02461,,,,,,,,,,,1,,,,,,,,,,,,
02472,,,,,,,,,,1,,,,,,,,,,,,,
02474,,,,,,,,1,,,,,1,,,,,,,,,,
03246,,,,,,,,,,,,,,,1,,,,,,,,
NA,,,,,,,,2,,3,5,5,,,1,,,,1,1,,,
