Address,LU post groups,LU prior groups,Prior Year,TOTAL VALUE post,TOTAL VALUE prior,YR BUILT prior (bin) 2,ZIPCODE post (group),Latitude,Longitude
WOODBINE ST,RL,RL,2022,28400.0,27100.0,,02119,42.3190029,-71.0797001
PUTNAM ST,RL,RL,2022,13400.0,12900.0,,02119,42.3298535,-71.0889622
MATHER ST,RL,RL,2022,245000.0,234400.0,,02124,42.2943415,-71.064852
HYDE PARK  AV,RL,RL,2018,31600.0,30700.0,0.0,02136,42.2558161,-71.1241128
GARTH RD,RL,RL,2016,21700.0,20500.0,0.0,02132,42.2892269,-71.1556695
FREMONT ST,RL,RL,2023,37100.0,36200.0,,02126,42.2707971,-71.0916568
FRANKLIN ST,RL,RL,2016,62200.0,153500.0,0.0,02110,42.3609865,-71.0992701
CONRAD ST,RL,RL,2022,4100.0,4100.0,,02125,42.3187096,-71.0619384
BOWDOIN ST,RL,RL,2023,151300.0,151300.0,,02121,42.3022925,-71.0716193
775 TRUMAN HW,RL,RL,2018,20700.0,20700.0,0.0,02136,42.2527785,-71.1299976
342 K ST,RL,RL,2022,71000.0,72600.0,,02127,42.3319895,-71.0371875
55 FOREST ST,RL,RL,2022,37700.0,36600.0,,02119,42.325942,-71.07691
53 DALE ST,RL,RL,2022,52100.0,50400.0,,02119,42.3211219,-71.08465199999999
51 WOODLAWN ST,RL,RL,2022,27200.0,26000.0,,02130,42.298201,-71.111875
49 CREIGHTON ST,RL,RL,2022,73800.0,72400.0,,02130,42.32414000000001,-71.107533
43 SENATOR BOLLING CI,RL,RL,2018,102100.0,101600.0,0.0,02124,42.2901714,-71.09386169999999
25 EAST ST,RL,RL,2022,32900.0,31500.0,,02122,42.3077738,-71.0595137
1 PURITAN AV,RL,RL,2022,22700.0,21800.0,,02121,42.3076514,-71.0715812
2 PAYSON PL,RL,R4,2022,291900.0,1356600.0,1920.0,02129,42.3772592,-71.06372429999999
4623 WASHINGTON ST,RL,R3,2022,155800.0,778900.0,2020.0,02131,42.2763253,-71.1397046
2004 DORCHESTER AV,RL,R2,2022,81800.0,583500.0,1880.0,02124,42.28259329999999,-71.06495009999999
